翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,とうございます！！！！,Я ВАМ ЖИЗНЬЮ ОБЯЗАН(А),了！！！！！,늘 고마워요!!!!,
,,,エーミール会長のこと,"ДАЙТЕ ЭМИЛЮ БОЛЬШЕ ЭКРАННОГО ВРЕМЕНИ, НУ ПОЖААААЛСТА",多拍点埃米尔会长啊！,에밀 회장님 좀,
,,,もっとうつして！！！！,Я УМОЛЯЮ ВАС,！！！,더 보여줘!!!!,
pc252,,,エーミール会長のこと,"ДАЙТЕ ЭМИЛЮ БОЛЬШЕ ЭКРАННОГО ВРЕМЕНИ, НУ ПОЖААААЛСТА",多拍点埃米尔会长啊！,에밀 회장님 좀,
,,,もっとうつして！！！！,Я УМОЛЯЮ ВАС,！！！,더 보여줘!!!!,
,,,↑配信タイトル見な？,^ буквально прочти название стрима,↑标题不会看？,↑방송 제목 안 보여?,
,,,最高～～～～,омгггггггггг я теперь могу умереть счастливой,绝美～～～～,최고다~~~~,
,,,いっぱいちゅき。。,"я их так сильно люблю, вааааххх",爱死了。。,짱 조하……,
,,,顔が強い,"почему такие горячие, УГХ",最强颜值,너무 귀여워,
,,,顔がいい・・・,могла бы вечно на них смотреть,好完美一张脸….,잘 생겼다……,
,,,こんなん銀河級だろ,Он сияет ярче галактики,全银河都美哭了,이게 은하급 외모지,
,,,マジですき,я их так сильно люблююю,爱死了真的,짱 좋아,
pc86,ジョバンニ,,……？,…?,……？,……?,
pc87,ジョバンニ,,ファンサービスってやつか？,Это тотальный фансервис.,刚才那是所谓的粉丝福利吗？,저게 팬 서비스인가?,
,,,人気者は大変だな。,Тяжело же знаменитостям.,大红人还真辛苦。,인기가 많아도 큰일이네.,
pc88,＊＠カムエミシンメ,**:**,また生徒会長とツーショで写ってる〜〜,"ОНИ В ОДНОМ КАДРЕ, ХАФФ-ХАФФ",又跟学生会长双人出镜～～,학생회장과 또 같이 나왔어~~,
,,,この２人ほんと仲良いよね,"миии, они такие хорошие друзья. они же",他俩关系真的好好,"저 두 사람, 정말 사이 좋은걸",
,,,,"соседи по комнате, да?",,,
pc89,＊＠エミ推し,**:**,親戚って噂本当なのかな？,"Кажется, они родственники?",听说这俩是亲戚，真的假的？,친척이라는 소문이 사실이었나?,
pc90,＊＠生もの地雷,**:**,単に幼馴染なんじゃなかった？,"Я думал(а), они друзья детства.",我记得不是发小而已吗？,그냥 소꿉친구 아니야?,
,,,血は繋がってない気がする,"Не думаю, что они родственники…..",应该没有血缘关系吧,혈연 관계는 아닌 것 같던데,
pc91,ネル様のグッズを買ってください,**:**,そういえば２人とも,"ооой, погоди",你这么一说我想起来了,그러고 보니 두 사람,
,,,出身惑星同じだったね,они разве не на одной планете родились?,这二位老家是同一个星球,같은 행성 출신이었지,
,,,あり得るかも,так что наверн,没准还真有可能,가능성 있는 이야기일지도,
pc92,＊,**:**,割り当ての女がマジで不細工で死にたい,"моя пара такой урод, может, просто всё закончить?",给我指派的女的奇丑无比 好想死,배우자로 지정 받은 상대가 별로라 죽고 싶어,
,,,こんなのと結婚すんの？,они серьёзно говорят мне выходить замуж ЗА ЭТО?,我就得跟这种货色结婚啊？,이런 인간과 꼭 결혼해야 돼?,
pc93,＊,**:**,は？,чзх?,？,뭐래?,
pc94,＊,**:**,しょうがないでしょ,"просто смирись, чувак",你能咋地 嚎也没用,어쩔 수 없어,
,,,カレルレンが決めたんだから従いなよ,это назначение Кареллена. так что просто прими это,都是卡列伦定的 认命吧,카렐렌이 정했으니 따를 수밖에,
pc95,＊,**:**,この学園船にイエハトブの家族が,"В нашей школе и правда есть кто-то, связанный с тем",哎听说伊哈托夫的小孩在我们学舰是真的假的？,이 학교선에 예하토브의 가족이,
,,,いるって本当？,террористом?,,타고 있다는 게 사실이야?,
,,,怖すぎるんだけど,"Неееет, это так страшно T-T",太恐怖了吧,너무 무서운데,
pc96,＊,**:**,マジだよ　仕方ないけどさ、,"ага, есть, только мы всё равно ничего не сделаем",是真的。虽然也没法子。,어쩔 수 없는 일이지만 사실이야,
,,,正直、別校に移って欲しいよね,"им надо сваливать нахуй. Надеюсь, их переведут.",不过还是希望那家伙识相点，赶快转学,솔직히 다른 데로 갔으면 좋겠어,
,,,何故よりによってゼウスに…,желательно прямиком в чёрную дыру.,学校那么多，干嘛偏偏来星主读书啊……,어째서 하필 제우스냐고…,
,,,そんな優秀だったの？？,им не место в Прима Зевс!,他有那个脑子吗？？,그렇게 뛰어난 녀석인가??,
pc97,＊,**:**,女子棟の皆さん！！,"эй, секси тёлочки",女生宿舍的各位美眉！！,"이봐, 여자 기숙사 사람들!!",
,,,今夜デートしませんか？？,кто-нибудь хочет на свидание сегодня вечером??? <3,今晚要不要出来约会呀？？,오늘 밤 데이트 안 할래??,
pc98,＊,**:**,嫌,фуу,滚,싫어,
pc99,＊,**:**,匿名サーバーで見つけたけど,"Нашёл(ла) этого Хэндлера на анон-сервере,",我在匿名服务器上看到的,익명 서버에서 찾았는데,
,,,本当に色々依頼できんだね,его можно попросить сделать практически всё что угодно!,那个传说中的Handler好牛,정말 다양한 의뢰를 받더라,
,,,噂のハンドラーって奴、マジですげー,Он на самом деле довольно крут...,真的各种委托都接啊,"소문이 자자한 그 핸들러 말인데,",
,,,誰なんだろ,"Интересно, кто это?",皮下到底是谁？好奇了,"정말 짱이야, 대체 정체가 뭐지?",
pc100,＊,**:**,匿名だから正体は知られてない,"хз, он же анонимен",没人知道是谁，毕竟匿名,익명이니 정체를 알 수 없지,
,,,一部ではカムパネルラとか言われてる,"некоторые говорят, это Кампанелла",有人说其实是康帕聂拉在运营,몇몇은 캄파넬라라 생각하던데,
pc101,＊,**:**,あーありそー,"не удивлюсь, чсг",啊～确实有可能,"아, 그럴듯하네.",
,,,またカムパネルラか…,меня одного (одну) он уже достал…?,又是康帕聂拉啊……,또 캄파넬라인가……,
pc102,＊,**:**,ゼロデイの誰かだったりして,это стопудово «Нулевой День»,说不定是零日的人？,Zero Day 일당 중 한 명 아님?,
pc103,＊,**:**,ハンドラー、既製のクラッキングソフト,"Кажется, Хэндлер даже не использует никакие",听说Handler从来不用别人做好的工具,핸들러는 기존 크래킹 소프트웨어 없이,SNS
,,,使ってなくて都度作ってるらしいね,"инструменты для взлома, он просто всё делает вручную",每次干黑活都自己从头造轮子,수작업으로 일을 처리하나 봐,
,,,引き受けてから５分で終えるんだって,И он всё делает в течение пяти минут после,而且从接委托到完事只用五分钟,의뢰를 맡으면 5분 내로 처리한대,
,,,どうやってるんだろうね…,"запроса??? Хэндлер, научи меня своим трюкам….",到底怎么做的啊能不能教教……,대체 무슨 방법을 쓰는 걸까……,
pc104,＊,**:**,流石に自作は無理だろ,"чувак, не может быть, чтобы он всё делал вручную",每次从头做也太扯了吧？,아무리 그래도 직접 만든 건 아니겠지,
,,,尾ひれつきすぎ,это стопудово фейк,吹这么玄乎有必要？,금방 꼬리가 밟힐 걸,
pc105,エーミール担,**:**,その人に依頼したら私でもエーミールさんの,"Может, мне попросить Хэндлера сделать меня",如果我也去委托 那是不是连我都有戏当埃米尔,핸들러에게 의뢰하면 나도 에밀 님의,
,,,割り当て相手になれるのかな…,"партнёром Эмиля... Чувствую, он бы смог.",同学的指派对象了……,배우자가 될 수 있을까……,
